boro,boro_name,NEIGHBORHOOD,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity,BORO,BORO_NAME,NBHD,NBHD_NAME
3,Brooklyn,3180,prediction,GROSSCON,30,0.9736,0.8301306613174825,0.8937781401652918,13.485971081682438,1.0468718371238395,-0.1201492159862229,1.1514804180778235,0.2460532430364731,0.20236512840892035,-0.04368811462755277,0.8224444673501956,0,0,0.0154644,0,TRUE,TRUE,FALSE,3,Brooklyn,CROWN HTS,CROWN HEIGHTS
3,Brooklyn,3190,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,,3,Brooklyn,CYPRSS HLS,CYPRESS HILLS
3,Brooklyn,3200,prediction,GROSSCON,43,1.0298,0.7387571503548384,0.7853423601497077,11.636780399751807,1.0276333268395046,-0.10494019765587895,1.220945444790059,0.19613743035470999,0.15099244298144582,-0.04514498737326429,0.7698298214082817,0,0,0.0023482,0,TRUE,TRUE,TRUE,3,Brooklyn,DTN-MALL,DOWNTOWN-FULTON MALL
3,Brooklyn,3201,prediction,GROSSCON,75,1.0284,0.7667786570525682,0.771746514303752,12.078499037831675,1.0333978117027536,-0.08933960783137775,1.153669271879302,0.23144280715307886,0.18377177992876212,-0.047671027224316695,0.7940267498017921,0,0,1.32e-4,0,TRUE,TRUE,FALSE,3,Brooklyn,DTN-TECH,DOWNTOWN-METROTECH
3,Brooklyn,3202,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,,3,Brooklyn,DTN-FERRY,DOWNTOWN-FULTON FERRY
3,Brooklyn,3210,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,,3,Brooklyn,DYKER HTS,DYKER HEIGHTS
3,Brooklyn,3230,prediction,GROSSCON,168,0.9901,0.8931446264044609,0.8713757093793839,8.905537397291857,1.0232451642572333,-0.10449344517887328,1.1540894594927145,0.19703712400004622,0.16372422270350873,-0.033312901296537474,0.830930838715807,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,FLATB-CTRL,FLATBUSH-CENTRAL
3,Brooklyn,3231,prediction,GROSSCON,89,0.9992,0.8657330990095216,0.7902866644406591,9.698284256025348,1.022745276062238,-0.09154663011303346,1.1666797293204711,0.19455288434291942,0.1555141729466225,-0.039038711396296916,0.7993413897298625,0,0,2e-7,0,TRUE,TRUE,TRUE,3,Brooklyn,FLATB-EAST,FLATBUSH-EAST
3,Brooklyn,3232,prediction,GROSSCON,32,0.9773,0.9027372413876523,0.8836827302092146,14.060108023657763,1.039050072337706,-0.08567946485235388,1.1484909719432765,0.30375815171551107,0.266690085804192,-0.03706806591131907,0.8779684900570646,0,0,0.0465956,0,TRUE,TRUE,FALSE,3,Brooklyn,FLATB-LEGA,FLATBUSH-LEFFERTS GARDEN
3,Brooklyn,3233,prediction,GROSSCON,22,1.0147,0.6767782852361072,0.5397412435766002,18.60551451438915,1.060413607547223,-0.22568225714483459,1.265688416356006,0.22125263898662909,0.13173873874430125,-0.08951390024232782,0.5954222256859164,0,3.9e-6,3.357e-4,3.9e-6,TRUE,FALSE,FALSE,3,Brooklyn,FLATB-NRTH,FLATBUSH-NORTH
