"","boro","NEIGHBORHOOD","decile","COOPUNITKEY","GROSSCON","prediction","geometry"
"178",1,1160,7,"100928000100000001-0000     6U",1025000,621955.505071998,c(-73.9807845188557, 40.7372107763318)
"179",3,3020,3,"306126004100000001-0000     E7",305000,318707.053238619,c(-74.0329147519094, 40.6144722352168)
"180",2,2290,2,"204291001400000001-0000     3C",155000,171511.334638294,c(-73.865315737909, 40.8533992847004)
"181",4,4220,2,"403253006200000002-0000    403",240000,260387.737966079,c(-73.845050541929, 40.718819166366)
"182",1,1271,9,"101513006600000001-0000     3S",1750000,1864416.02754014,c(-73.957194754429, 40.779031116659)
"183",4,4320,9,"401458001200000001-0000     6I",450000,419795.210071126,c(-73.8822418759459, 40.7514008096066)
"184",1,1220,7,"100890002000000001-0000     3H",1255500,1129944.1320402,c(-73.9796929723658, 40.746872528205)
"185",1,1271,1,"101551004400000001-0000     4C",310000,372856.81037764,c(-73.9495715071318, 40.7792354944192)
"186",1,1272,10,"101602000100000001-0000     3D",2818000,2685492.38532793,c(-73.9552076181915, 40.7879783725704)
"187",1,1270,3,"101439000100000001-0000    12L",555000,589142.892070133,c(-73.9614151603155, 40.76369153853)
"188",4,4470,4,"402086005000000003-0000     9F",300000,304869.64151237,c(-73.8598809796084, 40.7322696134384)
"189",3,3160,9,"300307005200000001-0000     1R",1125000,1094090.21574657,c(-73.9954557878093, 40.6867797825714)
"190",3,3420,7,"300951003900000001-0000     3B",598000,606881.010176699,c(-73.9750580702893, 40.6757475848711)
"191",3,3020,6,"305968005600000001-0000     B9",525000,449541.997254796,c(-74.0297475909593, 40.6289882700053)
"192",3,3090,4,"300253005700000001-0000     6I",362969,429176.714696351,c(-73.9958796036817, 40.6941614351291)
"193",1,1202,10,"101274005700000001-0000     9W",3700000,3486864.90617372,c(-73.9749343079063, 40.7648358821451)
"194",3,3360,1,"306776006500000001-0000     4L",170000,222550.250558895,c(-73.9600486565762, 40.609607581338)
"195",1,1030,3,"100771003800000001-0000     6C",575000,538059.695536276,c(-73.9967813446248, 40.7431043950571)
"196",4,4560,10,"400141002400000001-0000     3F",615000,582288.403557557,c(-73.9180850087976, 40.7446245936583)
"197",1,1271,2,"101579004400000001-0000     2D",415000,435362.026611953,c(-73.9478674750807, 40.7734350796371)
"198",4,4440,9,"407748050000000020-1000  20W2B",465000,454662.904344831,c(-73.7584927466073, 40.7372933036104)
"199",4,4100,4,"409648002400000001-0000     2D",279000,246590.272025571,c(-73.8185242890494, 40.7077031979181)
