NEIGHBORHOOD,block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
1110,877,prediction,GROSSCON,59,1.0129,0.9451347761405412,0.8622662238020745,10.058150679044084,1.039796300541933,-0.05403193514404825,1.069250977470932,0.3492540082561381,0.31038623631762857,-0.03886777193850954,0.8887120232847708,TRUE,TRUE,FALSE
1110,880,prediction,GROSSCON,25,1.0221,0.8100382090150223,0.8602045049143565,8.161102664834774,1.0166228121948575,-0.09520469361788826,1.151320944906173,0.16261974106072102,0.13218713613085256,-0.030432604929868462,0.8128603284486527,TRUE,TRUE,TRUE
1110,881,prediction,GROSSCON,5,1.0178,0.16172377268073307,0.48999999999999977,9.27621694912097,1.0107935022692074,-0.575088195263972,2.5699168258969847,0.06118230673832166,0.01958666701211076,-0.0415956397262109,0.32013613177226957,TRUE,TRUE,TRUE
1110,882,prediction,GROSSCON,7,1.0502,0.4882086562215238,0.8779220779220774,12.259335663931763,1.096116155494035,-0.2239314333000615,1.1105651709931885,0.23932936639023897,0.1390448260752731,-0.10028454031496586,0.5809768695436786,TRUE,TRUE,FALSE
1110,883,prediction,GROSSCON,11,1.0248,0.021427340641934047,0.24320266889074232,23.61079028928553,1.1632068990496751,-0.8797965375599002,3.7590468432227704,0.2339529897769759,0.027170075023911847,-0.20678291475306404,0.11613476301291425,TRUE,FALSE,FALSE
1110,896,prediction,GROSSCON,24,1.0462,0.2681689837161443,0.6258756249053172,13.389617375654991,1.0660962652429744,-0.360442091799361,1.533105217239328,0.17859047269801565,0.07346417533738177,-0.10512629736063388,0.4113555120132567,TRUE,TRUE,FALSE
1110,897,prediction,GROSSCON,28,0.9929,0.6944536514400579,0.6774313943194946,13.277877150051836,1.040121681728875,-0.11993706206723281,1.136625026374236,0.218930729669048,0.16132889505386874,-0.05760183461517926,0.7368947031681917,TRUE,TRUE,FALSE
1110,898,prediction,GROSSCON,38,1.0422,0.622143924276031,0.7035642238354188,9.389269327210016,1.0405823846994533,-0.12652116487829487,1.1662358585741426,0.203836816569054,0.13843970568050948,-0.06539711088854452,0.6791692885058873,TRUE,TRUE,FALSE
1110,899,prediction,GROSSCON,42,1.0746,0.7168387486676757,0.5186428333946491,17.521510675525846,1.1132553195366683,-0.23515617584575366,1.4008978689231348,0.2906244643381196,0.15916569528670654,-0.13145876905141307,0.5476679179407598,TRUE,FALSE,FALSE
1110,901,prediction,GROSSCON,4,,,,,,,,,,,,,,
1110,902,prediction,GROSSCON,24,1.0025,0.9402203552220048,0.6627425912967833,8.991762656550781,1.0192940000474515,-0.0830473690024623,1.182440268820469,0.19321345154678493,0.15695748814182675,-0.03625596340495818,0.8123527988620445,TRUE,TRUE,TRUE
1110,904,prediction,GROSSCON,14,0.9953,0.8929805559731291,0.4400403978383015,10.44267531859775,1.0384475887917843,-0.2195083557847931,1.1714670900786643,0.14760796019029523,0.0988577051835876,-0.04875025500670764,0.6697315311189239,TRUE,TRUE,FALSE
