"grosscondecile","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro","cutoff"
"4","unlogpred","grosscon",314,0.9658,0.0340965988749495,0.0497997980754167,4.76875043273228,1.00032673510986,0.919210175793426,0.472385169763537,0.014463406949571,0.00702832781859854,-0.00743507913097246,0.485938606519469,TRUE,FALSE,TRUE,4,"$580,000"
"5","unlogpred","grosscon",314,0.9665,0.161569152795828,0.175916222926021,5.02194479222571,0.999921970281729,0.846000428925814,0.394384051003237,0.015025437471532,0.0168687962596312,0.0018433587880992,1.1226825369705,TRUE,TRUE,TRUE,4,"$637,000"
"6","unlogpred","grosscon",314,0.9617,0.0710861247785655,0.131562191524227,5.15020139761051,1.00013361860678,0.968562046575941,0.435879041753723,0.01492196812677,0.0118458701156743,-0.00307609801109573,0.793854404126678,TRUE,TRUE,TRUE,4,"$700,000"
"7","unlogpred","grosscon",314,0.9645,0.113082604348108,0.152222619699864,4.14565351571655,1.00006531368163,0.848702883329391,0.444395383596296,0.0138332460887408,0.0124658148538557,-0.00136743123488512,0.901148925847701,TRUE,FALSE,TRUE,4,"$763,688"
"8","unlogpred","grosscon",313,0.9582,0.296800203748015,0.328125543191014,4.66989240992854,0.99996897999899,0.528934057320613,0.572343784933656,0.023173348155726,0.0235844230786991,0.000411074922973136,1.01773912514543,TRUE,FALSE,TRUE,4,"$880,000"
"9","unlogpred","grosscon",313,0.9788,0.427258187883401,0.445468606137703,5.5583294143553,1.00036969427186,0.281492654436966,0.735333945663703,0.040359123583523,0.0384663697361132,-0.00189275384740977,0.953102206407116,TRUE,TRUE,TRUE,4,"$1,141,000"
"10","unlogpred","grosscon",313,0.9551,0.806729321584418,0.788734224569668,4.48901157382834,1.00019443282856,0.0717127126287272,0.917412814784076,0.0771194100284372,0.0757128955227193,-0.00140651450571797,0.98176186118126,TRUE,FALSE,TRUE,4,"$1,975,000"
"All","unlogpred","grosscon",257,0.9439,0.9307160214923,0.933614865653346,8.45437854570995,1.01253264154701,-0.0315477736399201,1.01083299008001,0.183564681723616,0.167524843043633,-0.0160398386799828,0.912620235388564,TRUE,TRUE,TRUE,5,""
"1","unlogpred","grosscon",52,0.9857,0.514192733326886,0.407155530746186,9.3338155554373,1.00846193329757,-0.0161061746731534,0.960038883604956,0.0905473150359303,0.0620719898459856,-0.0284753251899447,0.685519938623853,TRUE,TRUE,TRUE,5,"$295,000"
"2","unlogpred","grosscon",52,0.9396,0.0337789013738988,0.0420704149150479,7.01033644322492,1.00041379728603,1.0140638670682,0.422811753312527,0.017189950968185,0.0121979625283848,-0.00499198843980016,0.709598448009579,TRUE,TRUE,TRUE,5,"$326,840"
"3","unlogpred","grosscon",51,0.9283,0.226233368910062,0.211163887805274,6.00075089089423,0.999861121364396,0.71172662525135,0.43145114663168,0.0210257348933486,0.0220726569868761,0.00104692209352752,1.04979241386035,TRUE,TRUE,TRUE,5,"$372,400"
"4","unlogpred","grosscon",51,0.9536,0.285815111347226,0.398290658551206,9.47966402204689,0.998982009615545,0.720262095170265,0.4947611875298,0.0343592032426384,0.0437369728562263,0.00937776961358789,1.27293326761287,TRUE,TRUE,TRUE,5,"$450,000"
"5","unlogpred","grosscon",51,0.9325,0.739435245902429,0.56693185692149,8.83888983592653,1.01295942884099,-0.050729805704279,1.1161591193758,0.145914068228081,0.114772203474775,-0.0311418647533059,0.786573939500971,TRUE,TRUE,TRUE,5,"$1,135,000"
