"nbhd","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro"
"3480","unlogpred","grosscon",72,0.9825,0.988059384092242,0.973518307216237,4.77190107522142,1.0084507972405,-0.0225110712241853,1.03826109395657,0.301877503120577,0.293724029753666,-0.00815347336691041,0.972990788374006,TRUE,FALSE,TRUE,3
"3500","unlogpred","grosscon",166,0.9858,0.970980127820195,0.947455187650466,5.79056398608921,1.01189226086549,-0.0309029627764441,1.06226110217559,0.270733489600391,0.256341809114295,-0.0143916804860957,0.94684189049778,TRUE,TRUE,TRUE,3
"3510","unlogpred","grosscon",32,0.9706,0.941734820481518,0.91289182681709,9.30664718348029,1.02704482577398,-0.0782881585116038,1.08701975122843,0.259346436938426,0.233829504344544,-0.0255169325938818,0.901610629800401,TRUE,TRUE,TRUE,3
"3511","unlogpred","grosscon",294,0.985,0.929050428351185,0.946017931541697,5.67690285813936,1.01021462470681,-0.0498534063687299,1.07763488095139,0.189236792973375,0.172726125212366,-0.0165106677610084,0.912751281071798,TRUE,TRUE,TRUE,3
"3512","unlogpred","grosscon",316,0.9819,0.930204410696811,0.920212411586718,7.5530529060962,1.01830422294684,-0.0491342294542757,1.06782158334092,0.230096940948424,0.20760628658309,-0.0224906543653335,0.902255743719884,TRUE,TRUE,TRUE,3
"3513","unlogpred","grosscon",102,0.9859,0.90025929889235,0.94284591066284,7.02733558809922,1.01644127406729,-0.0463075701521433,1.07432359140046,0.223408807755887,0.200460177958561,-0.0229486297973261,0.897279655051015,TRUE,TRUE,TRUE,3
"3520","unlogpred","grosscon",16,0.9953,0.910523949415952,0.930657439446367,5.24767120542009,1.00891912664842,-0.0900083113413714,1.14897484815885,0.138588717438339,0.118653857854434,-0.0199348595839046,0.856158135002771,TRUE,TRUE,TRUE,3
"3530","unlogpred","grosscon",40,0.9822,0.966407885630561,0.96346456270035,3.37646146891466,1.00900929393424,-0.0378947549590129,1.05227165945191,0.211017819935674,0.197618971777983,-0.0133988481576909,0.936503712521647,TRUE,FALSE,TRUE,3
"BK01","unlogpred","grosscon",78,0.9912,0.909741861864217,0.885608720304213,10.1041425821367,1.02800534988902,-0.110568185250404,1.15955755515951,0.223813653484577,0.191304201266963,-0.0325094522176142,0.854747680887778,TRUE,TRUE,TRUE,3
"BK02","unlogpred","grosscon",6,0.9908,0.988887859027862,0.888979591836735,6.09357649250659,1.01208809655569,-0.0304354597371467,1.09656950017089,0.278599605522682,0.265823499450309,-0.0127761060723734,0.954141693602171,TRUE,TRUE,TRUE,3
"BK03","unlogpred","grosscon",9,0.9748,0.990444994140467,0.966944444444444,3.30764804157467,1.00669966252192,-0.043512927321523,1.05496776836894,0.182704994880659,0.169470059603017,-0.013234935277642,0.927561174305678,TRUE,FALSE,TRUE,3
"BK05","unlogpred","grosscon",37,0.9818,0.973500810177251,0.92842266032919,4.5428014335846,1.00552011462432,-0.0466593721653394,1.09564800064234,0.156262087977761,0.144211105098483,-0.0120509828792784,0.922879675836704,TRUE,FALSE,TRUE,3
"BK06","unlogpred","grosscon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"BK07","unlogpred","grosscon",30,0.9856,0.977323429468449,0.952947892989886,4.18458392405656,1.01171142008692,-0.0504629380404127,1.09494331075237,0.203892270951605,0.184848421056645,-0.0190438498949604,0.906598470819521,TRUE,FALSE,TRUE,3
"All","unlogpred","grosscon",3137,0.971,0.982160930314578,0.975346027777721,5.50302586023335,1.00751980017997,-0.0248816227908727,1.03359977058133,0.218622638113603,0.208906142573045,-0.00971649554055826,0.955555858147182,TRUE,TRUE,TRUE,4
"4040","unlogpred","grosscon",235,0.9738,0.950489857662095,0.91094915003901,5.18117326864227,1.00650700385396,-0.0414130785133454,1.06686149595897,0.156626124491914,0.143999557430872,-0.0126265670610419,0.919384029311829,TRUE,TRUE,TRUE,4
"4050","unlogpred","grosscon",100,0.9579,0.891115162380513,0.863729615472743,7.45663586458737,1.01107639337822,-0.0685183828031326,1.07743851201703,0.152796279898961,0.132432035152862,-0.0203642447460992,0.866722902157269,TRUE,TRUE,TRUE,4
